,permco,gvkey,companyid,score,preferred,duplicate
365,37934,138203,13027.0,6.0,1.0,0.0
366,37943,138126,17836.0,1.0,1.0,0.0
367,37952,137642,23660.0,1.0,1.0,0.0
368,37961,032078,2675043.0,1.0,1.0,1.0
369,38400,138641,2906.0,3.0,1.0,0.0
370,38412,138341,8434.0,1.0,1.0,0.0
371,38417,112754,9789.0,1.0,1.0,0.0
372,38421,138703,11036.0,3.0,1.0,0.0
373,38431,138466,16163.0,1.0,1.0,0.0
374,38433,138662,17082.0,1.0,1.0,0.0
375,38438,138705,18457.0,1.0,1.0,0.0
376,38442,138608,20121.0,2.0,1.0,0.0
377,38467,021082,30343.0,3.0,1.0,1.0
378,38467,138747,30343.0,3.0,1.0,1.0
379,38472,138404,32530.0,6.0,1.0,0.0
380,39154,140042,6881.0,1.0,1.0,1.0
381,39154,140042,1651379.0,1.0,1.0,1.0
382,39159,140044,9764.0,1.0,1.0,0.0
383,40154,140676,27706.0,3.0,1.0,0.0
384,40203,140443,16623.0,3.0,1.0,0.0
385,40206,140445,18148.0,1.0,1.0,0.0
386,40976,133724,811.0,1.0,1.0,0.0
387,40981,141197,2614.0,1.0,1.0,0.0
388,40991,141037,13490.0,3.0,1.0,0.0
389,40998,133468,26269.0,1.0,1.0,0.0
390,40999,062977,26907.0,1.0,1.0,0.0
391,41058,111965,13115.0,1.0,1.0,0.0
392,41157,141277,11340.0,1.0,1.0,0.0
393,41265,063700,2262.0,1.0,1.0,0.0
394,41274,142106,30644.0,1.0,1.0,0.0
395,41370,128098,17162.0,3.0,1.0,0.0
396,41391,141460,27435.0,1.0,1.0,0.0
397,42119,023253,1738.0,2.0,1.0,0.0
398,42415,146156,97572.0,1.0,1.0,0.0
399,42547,144887,1912853.0,1.0,1.0,0.0
400,42787,145416,1295244.0,3.0,1.0,0.0
401,42788,145228,34213.0,1.0,1.0,0.0
402,42996,147201,127722.0,2.0,1.0,0.0
403,43014,022632,18445.0,1.0,1.0,0.0
404,43142,147885,84456.0,6.0,1.0,0.0
405,43166,065838,27597.0,4.0,0.0,1.0
406,43166,032858,2811093.0,1.0,1.0,1.0
407,43249,148219,565097.0,2.0,1.0,0.0
408,43504,014186,80044.0,2.0,1.0,0.0
409,43797,021132,1821.0,3.0,1.0,0.0
410,43907,151016,462926.0,1.0,1.0,0.0
411,44385,118733,4330.0,1.0,1.0,0.0
412,44396,150221,935146.0,6.0,1.0,1.0
413,44396,150221,1808898.0,6.0,1.0,1.0
414,44490,145160,249492.0,1.0,1.0,0.0
415,44491,155614,462763.0,3.0,1.0,0.0
416,44494,174160,47547.0,1.0,1.0,0.0
417,44496,155615,571796.0,1.0,1.0,0.0
418,44499,156133,564645.0,1.0,1.0,0.0
419,44505,018204,4391.0,2.0,1.0,0.0
420,44624,155794,254376.0,1.0,1.0,0.0
421,44627,155795,67690.0,3.0,1.0,0.0
422,44689,157865,593519.0,2.0,1.0,0.0
423,44697,157676,627917.0,6.0,1.0,0.0
424,44814,156292,494214.0,1.0,1.0,0.0
425,44881,162403,108502.0,3.0,1.0,0.0
426,44884,157217,646336.0,1.0,1.0,0.0
427,44885,141496,9831.0,1.0,1.0,0.0
428,44887,035320,95082.0,3.0,1.0,0.0
429,44888,156860,532479.0,1.0,1.0,0.0
430,44905,062288,22726.0,3.0,1.0,0.0
431,44964,142156,661508.0,4.0,1.0,0.0
432,44992,157414,461440.0,1.0,1.0,0.0
433,45003,156293,530229.0,1.0,1.0,0.0
434,45005,260919,460141.0,3.0,0.0,1.0
435,45005,160809,817058.0,1.0,1.0,1.0
436,45058,031177,4343.0,1.0,1.0,0.0
437,45068,160255,469196.0,1.0,1.0,0.0
438,45079,158734,550451.0,1.0,1.0,0.0
439,45081,146616,374642.0,1.0,1.0,0.0
440,45082,158563,138612.0,1.0,1.0,0.0
441,45084,157758,464813.0,3.0,1.0,0.0
442,45087,160237,564669.0,1.0,1.0,0.0
443,45091,157959,532470.0,1.0,1.0,0.0
444,45179,065876,469017.0,3.0,1.0,0.0
445,45180,154605,550789.0,3.0,0.0,1.0
446,45180,154605,1953399.0,1.0,1.0,1.0
447,45190,141846,105052.0,1.0,1.0,0.0
448,45191,264265,117536.0,1.0,1.0,0.0
449,45194,181617,620689.0,1.0,1.0,0.0
450,45285,141196,758100.0,3.0,1.0,0.0
451,45303,158746,253122.0,1.0,1.0,0.0
452,45305,264414,584734.0,1.0,1.0,0.0
453,45310,160607,488266.0,1.0,1.0,0.0
454,45314,264270,255136.0,1.0,1.0,0.0
455,45416,160272,467993.0,1.0,1.0,0.0
456,45420,148169,483527.0,1.0,1.0,0.0
457,45425,160340,560279.0,1.0,1.0,0.0
458,45473,065832,26934.0,3.0,1.0,0.0
459,45484,160374,80578.0,1.0,1.0,0.0
460,45529,157954,550673.0,1.0,1.0,0.0
461,45681,145935,84162.0,3.0,1.0,0.0
462,45713,264398,483541.0,1.0,1.0,0.0
463,45728,160668,114747.0,1.0,1.0,0.0
464,45857,143909,71572.0,3.0,1.0,0.0
465,45865,151630,852951.0,1.0,1.0,0.0
466,45882,160670,551024.0,2.0,1.0,0.0
467,46107,122916,7685.0,3.0,1.0,0.0
468,46110,253527,1091558.0,1.0,1.0,0.0
469,46113,147200,468941.0,1.0,1.0,0.0
470,46280,266316,484988.0,1.0,1.0,0.0
471,46285,032267,566156.0,1.0,1.0,0.0
472,46428,012942,25955.0,3.0,1.0,0.0
473,46554,146564,757210.0,4.0,1.0,0.0
474,46671,158055,550965.0,1.0,1.0,1.0
475,46671,158055,3022375.0,1.0,1.0,1.0
476,46870,162809,484090.0,1.0,1.0,0.0
477,46994,031249,620488.0,1.0,1.0,0.0
478,47007,163628,667264.0,1.0,1.0,0.0
479,47202,163919,567668.0,1.0,1.0,0.0
480,47207,163888,465949.0,1.0,1.0,0.0
481,47430,154708,600293.0,5.0,1.0,1.0
482,47430,154708,1585202.0,6.0,0.0,1.0
483,47435,163922,379112.0,1.0,1.0,0.0
484,47440,164609,488938.0,1.0,1.0,0.0
485,47447,023813,461263.0,1.0,1.0,0.0
486,47874,162956,666580.0,1.0,1.0,0.0
487,48770,021126,421272.0,3.0,1.0,0.0
488,48797,154433,925878.0,1.0,1.0,0.0
489,49989,165779,830145.0,3.0,1.0,0.0
490,49997,254096,864575.0,1.0,1.0,0.0
491,50004,165742,624472.0,1.0,1.0,0.0
492,50193,165857,530267.0,3.0,1.0,0.0
493,50197,018566,67689.0,3.0,1.0,0.0
494,50290,156617,247122.0,1.0,1.0,0.0
495,50296,165843,484942.0,1.0,1.0,0.0
496,50302,165650,42323.0,2.0,1.0,0.0
497,50304,163121,606793.0,6.0,1.0,0.0
498,50473,164266,782219.0,1.0,1.0,0.0
499,50482,166414,832353.0,1.0,1.0,0.0
500,50595,166450,583875.0,1.0,1.0,0.0
501,50600,025999,57738.0,1.0,1.0,0.0
502,50601,166435,462078.0,1.0,1.0,0.0
503,50728,153793,735325.0,2.0,1.0,0.0
504,50732,015539,383122.0,1.0,1.0,0.0
505,50956,143892,806598.0,1.0,1.0,0.0
506,50969,166591,867954.0,4.0,1.0,0.0
507,51107,066198,874935.0,2.0,1.0,0.0
508,51111,174648,74414.0,1.0,1.0,1.0
509,51111,174648,2930264.0,1.0,1.0,1.0
510,51208,032459,834644.0,1.0,1.0,0.0
511,51213,165215,735327.0,1.0,1.0,0.0
512,51300,174136,480186.0,1.0,1.0,0.0
513,51303,175483,626148.0,1.0,1.0,0.0
514,51315,175153,620137.0,1.0,1.0,0.0
515,51421,176022,550958.0,1.0,1.0,0.0
516,51442,175966,625767.0,1.0,1.0,0.0
517,51451,175490,480064.0,1.0,1.0,0.0
518,51548,174743,881222.0,3.0,1.0,0.0
519,51559,162892,633446.0,1.0,1.0,0.0
520,51562,176275,990191.0,1.0,1.0,0.0
521,51660,175424,851935.0,1.0,1.0,0.0
522,51809,166200,934868.0,3.0,1.0,0.0
523,51813,176594,836011.0,1.0,1.0,0.0
524,51819,027716,601450.0,1.0,1.0,0.0
525,51955,147817,607123.0,3.0,1.0,0.0
526,52139,176861,625142.0,3.0,1.0,0.0
527,52144,174507,583806.0,1.0,1.0,0.0
528,52284,029018,952385.0,1.0,1.0,0.0
529,52285,164270,944275.0,3.0,1.0,0.0
530,52292,175008,640267.0,1.0,1.0,0.0
531,52298,177110,469063.0,1.0,1.0,0.0
532,52306,177285,646167.0,1.0,1.0,0.0
533,52404,177764,924391.0,1.0,1.0,0.0
534,52532,025882,817360.0,3.0,1.0,0.0
535,52674,175308,665432.0,1.0,1.0,0.0
536,52697,038711,1004089.0,1.0,1.0,0.0
537,52779,178531,634355.0,2.0,1.0,0.0
538,52784,178547,794354.0,6.0,1.0,0.0
539,52809,177228,943217.0,1.0,1.0,0.0
540,52822,178855,813531.0,1.0,1.0,0.0
541,52856,178799,468865.0,6.0,1.0,0.0
542,52857,178800,583091.0,6.0,1.0,0.0
543,52864,178752,787850.0,1.0,1.0,0.0
544,52874,176017,463422.0,1.0,1.0,0.0
545,52877,176663,623824.0,6.0,1.0,0.0
546,52947,177226,650056.0,3.0,1.0,0.0
547,52971,032901,934303.0,1.0,1.0,0.0
548,53015,037325,1261522.0,1.0,1.0,0.0
549,53027,019205,2226426.0,1.0,1.0,1.0
550,53044,180231,1340719.0,2.0,1.0,0.0
551,53057,127234,1076515.0,1.0,1.0,0.0
552,53111,182015,1230042.0,1.0,1.0,0.0
553,53160,183101,561318.0,1.0,1.0,0.0
